id;birthday;color;date_of_decease;health_status;is_approved;kennel;micro_chip;name;picture_url;registration_num;sex;father_rn;mother_rn;owner_id
1;2014-06-12;Fawn;;;TRUE;Casa dei Iola;NA;Bjork di Casa dei Iola;;COR A 3738-14/144;Female;COR A 3154-07/144;COR A 3545-12/144;
2;2016-02-02;Fawn;;;TRUE;Center Of The Universe;NA;Amiro Center Of the Universe;;PK 32519/16;Male;LOF  140796;PK 19065/12;
3;2016-02-02;Fawn;;;TRUE;Center Of The Universe;NA;Armagedon Center Of The Universe;http://res.cloudinary.com/dusaavzkc/image/upload/v1701343155/dpe5xw5kfc5zrlu37yah.jpg;PK 32517/16;Male;LOF  140796;PK 19065/12;
4;2008-11-23;Brindle;;;TRUE;Sveti Georgije;6,8805E+14;Frida Sveti Georgije;http://res.cloudinary.com/dusaavzkc/image/upload/v1701343343/xr1splrsqmwasejzt6z9.jpg;PK 11482/09;Female;JR 84118 Nb;JR 76821 Nb;
5;2007-12-29;Brindle;;Hip: FCI: A;TRUE;di noi Vincere;NA;CH BG Solaris di noi Vincere;http://res.cloudinary.com/dusaavzkc/image/upload/v1698481868/hp3eqkln7kqvjxmauyke.jpg;PK 12157/09;Female;LOE 1466886;NHSB 2583871;
6;2014-06-12;Fawn;;;TRUE;Casa dei Iola;NA;Bozo di Casa dei Iola;;COR A 3736-14/144;Male;COR A 3154-07/144;COR A 3545-12/144;
7;2014-12-27;Brindle;;;TRUE;;;GHANIMA DI MERGELLINA;;LOI 15-51196;Female;JR 84754 Nb;NA3;
8;2014-09-08;Brindle;;;TRUE;DEL ROLANUS;NA;ISOTTA DEL ROLANUS;;LOI 14-167783;Female;LOE 2082996;ROI 11/92159;
9;2012-04-28;Fawn;;;TRUE;CALDARELLI;NA;PAKO BOXER CALDARELLI;;LOI 12-83766;Male;LOI 10/88448;LOI 06/21098;
10;2015-07-25;Brindle;;;TRUE;Casa dei Iola;NA;Detroit di Casa dei Iola;;COR A 3901-16/144;Female;LOI 10/62348;COR A 3642-13/144;
11;2015-02-02;Brindle;;;TRUE;Casa dei Iola;NA;CRIMEEA DI CASA DEI IOLA;;COR A 3896-16/144;Female;COR A 3386-10/144;COR A  3547-12/144;
12;2015-02-02;Brindle;;;TRUE;Casa dei Iola;NA;CELESTE DI CASA DEI IOLA;;COR A 3899-16/144;Female;COR A 3386-10/144;COR A  3547-12/144;
13;2015-12-01;Fawn;;;TRUE;;;HARMIN DI MERGELLINA;;LOI16-21922;Male;NA4;NA5789;
14;2012-09-29;Fawn;;;TRUE;NA;NA;LIBERIUM AVIS CHAMPION;;643094100063221 RUS;Male;NA6;NA7;
15;2016-02-02;Fawn;;;TRUE;Center Of The Universe;NA;Avatar Center Of The Universe;;PK 32518/16;Male;LOF  140796;PK 19065/12;
16;2015-05-04;Brindle;;;TRUE;;;Klara della Andasi;;JR 79792 Nb;Female;JR 85008 Nb;JR 79205 Nb;
17;2012-03-27;Fawn;;;TRUE;Unknown;NA;Andres;;JR 50505 Nb;Male;NA8;NA9;
18;2011-12-12;Fawn;;;TRUE;CINCO ROSAS;NA;WILWARIN DE CINCO ROSAS;http://res.cloudinary.com/dusaavzkc/image/upload/v1701342841/l3wu9ooui2kvjiflnqoj.jpg;PK 19065/12;Female;LOE 1874849;LOE 1713396;
19;2011-02-07;Brindle;;;TRUE;from Black Sea;NA;Aryan from Black Sea;http://res.cloudinary.com/dusaavzkc/image/upload/v1701343490/ztoceowv1shgd44fmpq5.jpg;PK 16229/11;Male;DBZB  225444;PK 12157/09;
20;2011-02-07;White;;;TRUE;from Black Sea;NA;Azazel from Black Sea;http://res.cloudinary.com/dusaavzkc/image/upload/v1700297781/n2o0i2zpwcsaprlzrupc.jpg;PK 16230/11;Male;DBZB  225444;PK 12157/09;
21;2005-04-30;Fawn;;;TRUE;vom German Dream;NA;ATIBOX CH Roque Santa Cruz vom German Dream;http://res.cloudinary.com/dusaavzkc/image/upload/v1698483800/y2f2oli7jxozh44lazjs.jpg;DBZB  225444;Male;NHSB 2428979;DBZB  219877;
22;2002-12-07;Fawn;;;TRUE;di noi Vincere;NA;ATIBOX CH Posseidon di Noi Vincere;http://res.cloudinary.com/dusaavzkc/image/upload/v1698509470/c4myzrz0kmxwlot3tiim.jpg;NHSB 2428979;Male;DBZB  211286;NL  2296956;
23;1997-08-23;Fawn;;Hip: FCI: A 1/2 - Elbows: FCI: A 1/2;TRUE;;;VDH SIEGER Balu vom Hause Romeo;http://res.cloudinary.com/dusaavzkc/image/upload/v1698509743/exblo8bjczkmqigs2qpq.jpg;DBZB  211286;Male;DBZB 205277;DBZB 201704;
24;2001-12-03;Fawn;;Hip: FCI: B 1/2 - Elbows: Not known;TRUE;Von Fausto;NA;BUNDEJGDSGRIN, VDH Irish-Coffee Von Fausto;http://res.cloudinary.com/dusaavzkc/image/upload/v1701421610/jgenmkbzmcxlnc6dwsq2.jpg;DBZB  219877;Female;VDH/DBZB-Nr 216453;VDH/DBZB-Nr  212674;
25;2002-06-20;Brindle;;;TRUE;di noi Vincere;NA;Golden-Eyes di Noi Vincere;;NL  2296956;Female;VDH/DBZB-Nr  I-101443;VDH/DBZB-Nr  NL-2050703;
26;1995-05-05;Fawn;;;TRUE;;;Kondor von Santana;;DBZB 205277;Male;;;
27;1994-01-12;Fawn;;;TRUE;;;Tinga von Maximilian;;DBZB 201704;Female;;;
28;1996-11-23;Brindle;;;TRUE;;;Casanova del Nettuno;;VDH/DBZB-Nr  I-101443;Male;;;
29;1996-02-11;Fawn;;;TRUE;;;Universe van de Hazenberg;;VDH/DBZB-Nr  NL-2050703;Female;;;
30;1999-12-07;Brindle;;;TRUE;;;Future vom Geman Dream;;VDH/DBZB-Nr 216453;Male;VDH/DBZB-Nr  I-83215;VDH/DBZB-Nr  209032;
31;1998-03-22;Brindle;;;TRUE;;;Armina von Fausto;;VDH/DBZB-Nr  212674;Female;VDH/DBZB-Nr  201262;VDH/DBZB-Nr  208009;
32;1994-06-01;Brindle;;;TRUE;;;Caos dei Cavalieri del Monferatto;;VDH/DBZB-Nr  I-83215;Male;;;
33;1996-10-11;Brindle;;;TRUE;;;Atlanta vom German Dream;;VDH/DBZB-Nr  209032;Female;;;
34;1993-10-23;Brindle;;;TRUE;;;Fausto von Santana;;VDH/DBZB-Nr  201262;Male;;;
35;1995-04-26;Fawn;;;TRUE;;;Jolena Ipon Saan;;VDH/DBZB-Nr  208009;Female;;;
36;;Brindle;;Hip: FCI: B 1/2 - Elbows: FCI: B 1/2;TRUE;;;Nazar de Fralocasti;;LOE 1466886;Male;LOE 1337211;LOE 1364138;
37;2005-11-11;Fawn;;Hip: FCI: C;TRUE;;;Faith di Noi Vincere;;NHSB 2583871;Female;PKR II-76022;NL  2296956;
38;2002-05-10;Brindle;;Hip: FCI: A;TRUE;;;Kraus de Fralocasti;;LOE 1337211;Male;LOE 1151442;LOE 986661;
39;;Brindle;;;TRUE;;;Marysol de Fralocasti;;LOE 1364138;Female;LOE 1151442;LOE 1261724;
40;2003-04-11;Brindle;;Hip: FCI: A;TRUE;;;Garibaldi Nostrum;;PKR II-76022;Male;LOP 272384;PKR II-51911;
41;1998-08-20;Brindle;;HD A, Hz 0, Sp 0;TRUE;;;Saverio di Soragna;;LOE 1151442;Male;LOE 739488;LOI BX094109;
42;1998-04-09;Fawn;;;TRUE;;;Enya de Verdemar;;LOE 986661;Female;;;
43;;Fawn;;;TRUE;;;Lua de Fralocasti;;LOE 1261724;Female;;;
44;2001-10-03;Brindle;;Hip: FCI: B;TRUE;;;Apollo von D'High-Quick;;LOP 272384;Male;;;
45;1997-09-07;Fawn;;Hip: FCI: A;TRUE;;;Fin de Siecle Nostrum;;PKR II-51911;Female;;;
46;2012-02-21;Fawn;;Hip: FCI: B;TRUE;;;Homerun con Tilia;;LOF  140796;Male;CMKU/BOX 10644/06;LOF 137215/23831;
47;2006-06-24;Fawn;;HD-FCI: A 1/2;TRUE;;;MULTI CH, ATIBOX2010 Hannibal Optima Grata;;CMKU/BOX 10644/06;Male;LOE 1456982;CMKU/BOX 9416;
48;2010-06-03;Fawn;;HD-FCI: A;TRUE;;;Fidji con Tilia;;LOF 137215/23831;Female;VDH/DBZB 228023;LOF 121792;
49;2004-02-20;Brindle;;Hip: FCI: A;TRUE;;;Ego de Joanxichcan;;LOE 1456982;Male;LOI 99/197422;LOE 1195610;
50;2004-03-22;Brindle;;Hip: FCI: B;TRUE;Optima grata;NA;Anthea Optima grata;;CMKU/BOX 9416;Female;LOF  111898;LOF 108386;
51;1999-03-13;Fawn;;Hip: FCI: A;TRUE;;;Ago del Colle dell Infinito;;LOI 99/197422;Male;;;
52;2000-04-30;Brindle;;;TRUE;;;Ankara de Joanxichcan;;LOE 1195610;Female;;;
53;2006-11-26;Brindle;;Hip: FCI: A 1/2;TRUE;;;Uno vom Okeler Forst;;VDH/DBZB 228023;Male;VDH/DBZB 223474;VDH/DBZB 223351;
54;2003-10-02;Fawn;;Hip: FCI: A 1/2;TRUE;;;Utopia con Tilia;;LOF 121792;Female;LOF 114896/17106;JR 74748 Nb;
55;2004-03-10;Brindle;2015-01-03;Hip: FCI: B;TRUE;;;Orgon von Fausto;;VDH/DBZB 223474;Male;;;
56;2004-01-28;Brindle;;Hip: FCI: A 1/2;TRUE;;;Quefilia vom Okeler Forst;;VDH/DBZB 223351;Female;;;
57;2001-01-24;Fawn;;Hip: FCI: A 1/2;TRUE;;;Sherpa des Jardins de Passiflore;;LOF 114896/17106;Male;;;
58;2001-07-01;Brindle;;Hip: FCI: C;TRUE;;;Babette del Cuore Grande;;JR 74748 Nb;Female;;;
59;2009-01-15;Fawn;;;TRUE;de Loermo;NA;Duque de Loermo;;LOE 1874849;Male;LOE 1697416;LOE 1701644;
60;2007-06-11;Fawn;2014-07-22;Hip: FCI: A;TRUE;;;SINI SINI DE CINCO ROSAS;;LOE 1713396;Female;LOI 01/95934;VDH/DBZB 170089;
61;2001-06-20;Fawn;;;TRUE;;;MIRLO DEL CABEZO LA JARA;;LOE 1697416;Male;LOI 01/95934;LOE 1562684;
62;2007-09-06;Fawn;;;TRUE;;;CALMA DE LOERMO;;LOE 1701644;Female;LOE 1441046;LOE 1507454;
63;2000-12-20;Brindle;;;TRUE;;;AXELMOSE;;LOI 01/95934;Male;LOI 98/107320;LOI 99/96809;
64;2005-03-05;Brindle;;;TRUE;von der Morrequelle;NA;Jelka von der Morrequelle;;VDH/DBZB 170089;Female;LOI 00/11297;VDH/DBZB 214439;
65;2005-01-17;Fawn;;;TRUE;;;JARA DEL CABEZO DE LA JARA;;LOE 1562684;Female;;;
66;2004-02-17;Fawn;;;TRUE;;;Walker de la Estribera;;LOE 1441046;Male;;;
67;2004-09-09;Fawn;;;TRUE;;;ZEBRA DE LOERMO;;LOE 1507454;Female;;;
68;1998-04-03;Brindle;;;TRUE;dei Centurioni;;"Dylan dei Centurioni	";;LOI 98/107320;Male;LOI BX091977;VDH/DBZB 204718;
69;1999-12-08;Brindle;;;TRUE;;;LUNAI;;LOI 99/96809;Female;;;
70;1999-05-20;Brindle;;;TRUE;;;CONDOR DEL COLLE DELLВґINFINITO;;LOI 00/11297;Male;;;
71;1998-11-26;Fawn;;;TRUE;von Santana;NA;SERINA VON SANTANA;;VDH/DBZB 214439;Female;;;
72;2005-12-01;Brindle;;;TRUE;;;Alfa Romeo vom Kaiserfelsen;;COR A 3154-07/144;Male;;;
73;2012-02-03;Fawn;;;TRUE;Casa dei Iola;NA;Astrid di Casa dei Iola;;COR A 3545-12/144;Female;;;
74;2007-05-26;Fawn;;;TRUE;;;Arci;;JR 84118 Nb;Male;JR 75876 Nb;JR 76235 Nb;
75;2007-03-01;Fawn;;;TRUE;;NA;Tracy;;JR 76821 Nb;Female;JR 83523 Nb;JR 75057 Nb;
76;2011-02-14;Brindle;;;TRUE;;;UGO OD DJEVIJA;;JR 84754 Nb;Male;;;
77;;Fawn;;;TRUE;;;IRENE;;NA3;Female;;;
78;2011-12-17;Brindle;;;TRUE;;;CASARO DE LA FORZANDANZA;;LOE 2082996;Male;;;
79;2011-04-20;Fawn;;;TRUE;;;FLOTTE DEL ROLANUS;;ROI 11/92159;Female;;;
80;2009-09-24;Fawn;;;TRUE;;;PEDRO;;LOI 10/88448;Male;;;
81;2005-06-01;Brindle;;;TRUE;;;PHOKA;;LOI 06/21098;Female;;;
82;2009-10-16;Brindle;;;TRUE;;;URAN DEI ROERI;;LOI 10/62348;Male;;;
83;2013-03-14;Brindle;;;TRUE;vom Kaiserfelsen;NA;TULIP NOIR VOM KAISERFELSEN;;COR A 3642-13/144;Female;;;
84;2009-10-25;Brindle;;;TRUE;;;FIORANO VOM KAISERFELSEN;;COR A 3386-10/144;Male;;;
85;2012-02-03;Fawn;;;TRUE;;;AMBROSIA DI CASA DEI IOLA;;COR A  3547-12/144;Female;;;
86;;Fawn;;;TRUE;;;PELE DELLA RISERVA REALE;;NA4;Male;;;
87;2021-05-03;Fawn;;;TRUE;na;na;CAPRI;;NA5789;Female;;;
88;;Fawn;;;TRUE;;;QUARREL BARREL;;NA6;Male;;;
89;;Fawn;;;TRUE;;;LIBERIUM AVIS TERRACOTA;;NA7;Female;;;
90;2013-12-07;Brindle;;;TRUE;;;Sky de Cristobalito;;JR 85008 Nb;Male;;;
91;;Brindle;;;TRUE;;;Jolanda della Andasi;;JR 79205 Nb;Female;;;
92;2008-11-17;Fawn;;;TRUE;;;AUREUS DELLA ULTIMA ARGILLA;;NA8;Male;;;
93;;Fawn;;;TRUE;;;INDI FROM HOUSE OF PRIDE;;NA9;Female;;;
98;2000-10-18;Brindle;;"HD-B2; Heart-0; Sp-2";TRUE;Val d'Europe;NA;Ravel du Val d'Europe;http://res.cloudinary.com/dusaavzkc/image/upload/v1701423703/aba1p2f9jgam9yme3vjd.jpg;LOF 114528;Male;LOF  111898;LOF 108386;
99;1998-04-28;Brindle;;HD-B;TRUE;de Sullieu;NA;Ocre de Sullieu;;LOF 108386;Female;;;
100;1999-08-15;Brindle;;Hip: FCI: A 1/2;TRUE;Val d'Europe;NA;Perico du Val d'Europe;;LOF  111898;Male;;;
101;2006-01-04;Brindle;;;TRUE;Burg Singidunum;NA;Ludvig von der Burg Singidunum;;JR 75876 Nb;Male;COR 2554-03/144;JR 75259 Nb;
102;2002-12-19;Brindle;;;TRUE;Zogobox ;NA;Frida von Zogobox ;http://res.cloudinary.com/dusaavzkc/image/upload/v1701680083/oigk11kosxr0mrwe7zru.webp;JR 75259 Nb;Female;;;
103;2001-10-29;Fawn;;;TRUE;Pannon-Box;NA;Pannon-Box Harry;http://res.cloudinary.com/dusaavzkc/image/upload/v1701680088/wchzttsrrj5akbz38zzt.webp;COR 2554-03/144;Male;;;
104;2006-01-05;Brindle;;;TRUE;Mazenhof;NA;Etna von der Mazenhof;;JR 76235 Nb;Female;JR 82866 Nb;JR 75725 Nb;
105;1998-08-21;Brindle;;;TRUE;Igneshoff;;Huckleberry vom Igneshof;;JR 82866 Nb;Male;;;
106;1999-12-12;Brindle;;;TRUE;Woody Box;NA;Woody Box Puppeta;;JR 75725 Nb;Female;;;
107;;Brindle;;;TRUE;el Bosk;NA;Xena el Bosk;;JR 75057 Nb;Female;JR 81201 Nb;JR 75054 Nb;
108;;Brindle;;;TRUE;El Tomex;NA;Borna El Tomex;;JR 75054 Nb;Female;;;
109;;Brindle;;;TRUE;el Bosk;;From El Bosk;;JR 81201 Nb;Male;;;
110;2001-04-27;Brindle;;HD A;TRUE;El Tomex;NA;Falco El Tomex;http://res.cloudinary.com/dusaavzkc/image/upload/v1701683481/euehddtrblqrmevl0o49.webp;JR 83523 Nb;Male;LOI BX 085506;HR 11175;
111;1994-04-30;Brindle;;;TRUE;Del Colle Dell Infinito;;CH. Antonio Del Colle Dell Infinito;;LOI BX 085506;Male;VDH/DBZB 177810;LOI BX061116;
112;1997-10-28;Brindle;;;TRUE;Stanislav Chucky ;;Nerya Chucky A.C.;;HR 11175;Female;VDH/DBZB 207102;HR 10188;
113;2008-01-08;Brindle;;"HD A, Hz 0, Sp 0;";TRUE;del Colle dell'Infinito;NA;Primo del Colle dell'Infinito;;LOI 08/136400;Male;LOE 1456982; LOI 03/114555;
114;2003-04-10;Brindle;;HD B;TRUE;del Colle dell'Infinito;NA;Daiana del Colle dell'Infinito;; LOI 03/114555;Female;LOI 01/140979;LOI 99/116348;
115;2008-03-23;Brindle;;;TRUE;von der Burg Singidunum;NA;Ornella von der Burg Singidunum;;JR 77275 Nb;Female;LOE 1532366;JR 75258 Nb;
116;2002-12-09;Fawn;;;TRUE;von Zogobox;NA;Fila von Zogobox;;JR 75258 Nb;Female;LOI 02/61377;JR 74769 Nb;
117;2005-01-11;Brindle;;HD A, Hz 0;TRUE;Boxer's Mundaka;NA;Buru de Boxer's Mundaka;;LOE 1532366;Male;LOE 1151442;LOE 1238812;
119;2009-12-12;Fawn;;HD A, Hz 1, Sp 0;TRUE;von Zogobox;NA;Xanto von Zogobox;;JR 78008 Nb;Male;LOI 08/136400;JR 77275 Nb;
120;2003-06-02;Brindle;;;TRUE;della Cadormare;NA;Rugantino della Cadormare;;LOI 04/18745;Male;LOI BX101371;LOI 98/143345;
121;1998-04-04;White;;HD A;TRUE;della Cadormare;NA;Ambrosia della Cadormare;;LOI 98/143345;Female;LOI BX065582;LOI BX075192;
122;1997-02-08;Brindle;;HD B, Sp 0;TRUE;della Talpa;NA;Noe' della Talpa;;LOI BX101371;Male;ÖHZB/DB 16385;LOI BX074506;
123;1111-11-11;White;;;TRUE;di Marinero;NA;Boni di Marinero;;JR 75000 Nb;Female;JR 73386 Nb;JR 74333 Nb;
124;0111-11-11;White;;;TRUE;di Marinero;NA;Matilda di Marinero;;JR 74333 Nb;Female;;;
125;0111-06-05;Fawn;;;TRUE;von der Burg Singidunum;NA;Jago von der Burg Singidunum;;JR 73386 Nb;Male;;;
126;2005-10-18;Brindle;;;TRUE;di Marinero;NA;Alfa di Marinero;;JR 76615 Nb;Female;LOI 04/18745;JR 75000 Nb;
127;2013-07-24;Fawn;;;TRUE;di Marinero;NA;Jenter di Marinero;;JR 85019 Nb;Male;JR 78008 Nb;JR 76615 Nb;
128;1998-12-07;Brindle;;HD-B;TRUE;Del Colle Dell Infinito;;Quinta del Colle dell Infinito;;LOI 99/116348;Female;;;
129;2001-03-07;Brindle;;HD-A;TRUE;dell Antico Squero;;Iron dell Antico Squero;;LOI 01/140979;Male;;;
131;;Fawn;;;TRUE;Boxer's Mundaka;NA;Aya de Boxer's Mundaka;;LOE 1238812;Female;LOE 1032161;LOE 1032003;
132;2003-08-23;Fawn;;HD B, Hz 0, ;TRUE;NA;NA;Dakota;;LOI 04/6798;Male;LOI 117929;LOI 01/140989;
133;2001-03-07;White;;;TRUE;dell Antico Squero;NA;Indira dell Antico Squero;;LOI 01/140989;Female;LOI 99/86436;LOI 99/95859;
134;2001-05-23;Fawn;;HD B;TRUE;dei Centurioni;NA;Kabir dei Centurioni;;LOI 117929;Male;LOI 98/107320;LOI 99/48713;
135;2008-03-12;Brindle;;;TRUE;NA;NA;Mrvica;;JR 77124 Nb;Female;JR 83523 Nb;JR 76655 Nb;
136;;White;;;TRUE;NA;NA;Kobra;;JR 76655 Nb;Female;;;
137;1984-08-15;Fawn;;HD B;TRUE;von der Goldquelle;NA;Hoss von der Goldquelle;;VDH/DBZB 177810;Male;;;
138;1989-12-14;Brindle;;HD C;TRUE;del Colle dell'Infinito;NA;Grazia del Colle dell'Infinito;;LOI BX061116;Female;;;
139;1992-08-15;White;;HD A;TRUE;Shucky;NA;Frieda Shucky A.C.;;HR 10188;Female;;;
140;1996-02-21;Brindle;;HD A;TRUE;von Santana;NA;Nobody von Santana;;VDH/DBZB 207102;Male;;;
141;2006-07-10;Brindle;;;TRUE;El Bosk;NA;Gana El Bosk;;JR 76556 Nb;Female;NHSB 2527204;JR 75757 Nb;
142;2004-06-12;Brindle;;;TRUE;El Bosk;NA;Lana El Bosk;;JR 75757 Nb;Female;;;
143;2004-10-01;Fawn;;HD B, Hz 0;TRUE;van de Meerpaal;NA;Eros van de Meerpaal;;NHSB 2527204;Male;;;
144;1999-01-01;White;;;TRUE;dei Centurioni;NA;Nokia dei Centurioni;;LOI 99/48713;Female;;;
145;1998-10-19;Fawn;;HD A;TRUE;NA;NA;Dagton;;LOI 99/86436;Male;;;
146;1998-11-12;Brindle;;;TRUE;dell'Antico Squero;NA;Elsaton dell'Antico Squero;;LOI 99/95859;Female;;;
147;1991-08-09;Brindle;;;TRUE;vom Königsberg;NA;Lars vom Königsberg;;ÖHZB/DB 16385;Male;VDH/DBZB 163555;ÖHZB/DB 15606;
148;1992-11-28;Brindle;;;TRUE;della Talpa;NA;Iva della Talpa;;LOI BX074506;Female;LOI BX060600;LOI BX063725;
149;;White;;;TRUE;della Talpa;NA;Yoga della Talpa;;LOI BX063725;Female;;;
150;1991-08-21;Brindle;;HD B;TRUE;della Talpa;NA;Tex della Talpa;;LOI BX060600;Male;;;
151;1980-07-28;Brindle;;HD C;TRUE;von den Glockenbergen;NA;Xeno von den Glockenbergen;http://res.cloudinary.com/dusaavzkc/image/upload/v1701937963/usbwdnyfjxmhdbsnrhmd.jpg;VDH/DBZB 163555;Male;;;
152;1987-12-26;Brindle;;HD B;TRUE;vom Rennstall;NA;Hella vom Rennstall;;ÖHZB/DB 15606;Female;;;
153;1991-03-23;Brindle;;HD A;TRUE;del Colle dell'Infinito;NA;Teck del Colle dell'Infinito;;LOI BX065582;Male;;;
154;1991-03-23;Fawn;;HD B;TRUE;della Cadormare;NA;Helka della Cadormare;;LOI BX075192;Female;;;
155;1995-11-11;Fawn;;HD B;TRUE;de Ruphete;NA;Nick de Ruphete;;LOE 739488;Male;;;
156;1996-04-15;Brindle;;;TRUE;di Soragna;NA;Celeste di Soragna;;LOI BX094109;Female;;;
157;;Fawn;;;TRUE;de Itoiz;NA;Joya de Itoiz;;LOE 1032003;Female;;;
158;2001-12-05;Brindle;;HD A, Hz 0, Sp 0;TRUE;della Cadormare;NA;Ypsilon della Cadormare;;LOI 02/61377;Male;;;
159;;Brindle;;HD A;TRUE;von Zogobox;NA;Celeste von Zogobox;;JR 74769 Nb;Female;;;
160;;Fawn;;HD C;TRUE;de Aikhal;NA;Class de Aikhal;;LOE 1032161;Male;;;
161;2008-05-14;Fawn;;;TRUE;El Bosk;NA;Julius Zuka El Bosk;;JR 77410 Nb;Male;LOI 04/6798;JR 76556 Nb;
162;2011-03-31;Brindle;;;TRUE;NA;NA;Aska;;JR 78296 Nb;Female;JR 77410 Nb;JR 77124 Nb;
163;2016-01-26;Brindle;;;TRUE;Dejan Isaković;1,00E+14;Chayenne von Dizbox;;JR 85336 Nb;Female;JR 85019 Nb;JR 78296 Nb;
164;2002-08-07;Brindle;;;TRUE;de Cristobalito;NA;Lazzarino de Cristobalito;http://res.cloudinary.com/dusaavzkc/image/upload/v1701938439/jcodzzmxtssitxa206wj.jpg;PK 02486/03;Male;VDH/DBZB 217833;JR 82914 Nb;
165;;Brindle;;;TRUE;de Cristobalito;NA;Hulia Nicol de Cristobalito;;JR 82914 Nb;Female;JR 82808 Nb;JR 80223 Nb;
166;2000-08-29;Brindle;;"HD-A2; Heart-0; Sp-0";TRUE;vom German Dream;NA;Multi CH. In Petto v. German Dream;http://res.cloudinary.com/dusaavzkc/image/upload/v1701938858/btad5tmelwnpyvvv8lub.jpg;VDH/DBZB 217833;Male;LOI 98/107320;VDH/DBZB 209032;
167;1996-10-11;Brindle;;"HD-A; Heart-0; ";TRUE;vom German Dream;;Atalanta vom German Dream;;VDH/DBZB 209032;Female;VDH/DBZB 195218;VDH/DBZB 204350;
168;1991-05-22;Fawn;;HD-A;TRUE;Sembacher Flur;;Ibsen von der Sembacher Flur;;VDH/DBZB 195218;Male;;;
169;1994-02-02;Brindle;;HD-C;TRUE;;;Tequilla vom Hause Rehberg;;VDH/DBZB 204350;Female;;;
170;1995-09-13;Brindle;;;TRUE;dei Centurioni;;Manfred dei Centurioni;;LOI BX091977;Male;;;
171;1995-02-19;Brindle;;;TRUE;Schloß Friedestrom;;Antje vom Schloß Friedestrom;;VDH/DBZB 204718;Female;;;
172;;Brindle;;;TRUE;Satansberg;;Zawinul vom Satansberg;;JR 82808 Nb;Male;LOI BX054734;OHZB/DB 16215;
173;;Brindle;;;TRUE;de Cristobalito;;Dolcezza de Cristobalito;;JR 80223 Nb;Female;LOI 64413;JR 80698 Nb;
178;1990-10-18;Brindle;;;TRUE;Satansberg;;Latoya vom Satansberg;;OHZB/DB 16215;Female;0;0;
179;1988-06-24;Brindle;;HD-A;TRUE;Vitmarter;;Fly di Vitmarter;;LOI BX054734;Male;0;0;
180;;Brindle;;;TRUE;de Cristobalito;;Andanta de Cristobalito;;JR 80698 Nb;Female;0;0;
181;;Brindle;;;TRUE;dei Laus;;Gitan dei Laus;;LOI 64413;Male;0;0;
